,0,1
0,0,0.976250903543936
1,1,0.8241135109641151
2,2,0.8626683516706191
3,3,0.7659724704418878
4,4,0.8399739427597461
5,5,0.7408166842795741
6,6,0.7523169885039922
7,7,0.6490266668425674
8,8,0.6546703115743382
9,9,0.6845703138928816
10,10,0.5360568021709273
11,11,0.5222145005257637
12,12,0.4909871235629844
13,13,0.5429262249401668
14,14,0.4057173367928736
15,15,0.4973667105228371
16,16,0.39839021356201676
17,17,0.3896480850747684
18,18,0.4062570394774324
19,19,0.31797628934583233
20,20,0.3521681325531825
21,21,0.276942165470043
22,22,0.30609708543669467
23,23,0.2888404208218055
24,24,0.3705960891335384
25,25,0.24077631172978686
26,26,0.18778357325510298
27,27,0.26287981739951216
28,28,0.21662243565999986
29,29,0.19880129957184656
30,30,0.17309588674477328
31,31,0.17944824717878755
32,32,0.031399616331930474
33,33,0.1281009685410571
34,34,0.07916551711319134
35,35,0.12949854744718964
36,36,0.11204528263971059
37,37,0.1441056455992567
38,38,0.07717851546459213
39,39,0.10616350189882269
40,40,0.06712140990917471
41,41,0.12790067187695842
42,42,0.1431872947341945
43,43,0.06067695790727286
44,44,0.08502837064129101
45,45,0.03053116338823772
46,46,-0.017367322728478546
47,47,0.01945169646001453
48,48,-0.02192613457844024
49,49,-0.0175169417910154
